module,acronym_abrev,term_eng,term_esp,definition_esp
PROJECT TYPOLOGIES AND ZONES,BRZWY,Breezeway,Pasillo Abierto Techado,Paso abierto y techado (normalmente para conectar dos edificios o áreas).
PROJECT TYPOLOGIES AND ZONES,LOGG,Loggia,Logia / Galería,Corredor cubierto exterior y abierto a zonas verdes generalmente mediante arcos).
PROJECT TYPOLOGIES AND ZONES,MEZZ,Mezzanine,Entrepiso / Mezanina,Entrepiso.
PROJECT TYPOLOGIES AND ZONES,RR,Restroom,Baño Común,Baño (de áreas comunes).
PROJECT TYPOLOGIES AND ZONES,M,Men / Men's Restroom,Baño De Hombres,Baño de hombres (de áreas comunes).
PROJECT TYPOLOGIES AND ZONES,W,Women / Women's Restroom,Baño De Mujeres,Baño de mujeres (de áreas comunes).
PROJECT TYPOLOGIES AND ZONES,TLT,Toilet Room,Aseo Común,"Aseo (de áreas comunes, exclusivamente con el inodoro y a veces con lavabo)."
PROJECT TYPOLOGIES AND ZONES,BATH,Bathroom,Baño De Vivienda,Baño (de vivienda).
PROJECT TYPOLOGIES AND ZONES,MR BATH,Master Bathroom,Baño Principal,"Baño principal (de vivienda, usualmente con acceso desde la master bedroom)."
PROJECT TYPOLOGIES AND ZONES,PWDR,Powder Room,Aseo De Vivienda,"Aseo (de vivienda, exclusivamente con el inodoro y a veces con lavabo)."
PROJECT TYPOLOGIES AND ZONES,TYPE A BATH,Type A Bathroom,Baño Tipo A FHA,"Baño tipo A -> Requieren accesibilidad (30”x48”) para todos los elementos. Esto incluye la tina/ducha, el inodoro y el lavabo (ambos si es doble). Frecuentemente, tienen forma alargada debido a la disposición de sus elementos. Si la unit tiene baño(s) tipo A, en ese caso no podrá tener ninguno de tipo Usable."
PROJECT TYPOLOGIES AND ZONES,TYPE B BATH,Type B Bathroom,Baño Tipo B FHA,"Baño tipo B -> Requieren accesibilidad (30”x48”) para uno de cada tipo de elemento. Como consecuencia, este tipo de baño tiene un acceso a la tina más espacioso. Frecuentemente, tienen forma más ancha debido a la disposición de sus elementos. Si la unit tiene al menos un baño tipo B, los demás pueden ser de tipo Usable."
PROJECT TYPOLOGIES AND ZONES,USABLE BATH,Usable Bathroom,Baño Tipo Usable FHA,"Baño tipo Usable -> No requieren accesibilidad (30”x48”) para sus elementos. Su único requisito es que su puerta tenga un clearance de 32”mín, y que disponga de 30”x48” libres, para que una persona en silla de ruedas pueda entrar y cerrar. Frecuentemente, suelen ser muy compactos y de dimensiones reducidas."
PROJECT TYPOLOGIES AND ZONES,MUD RM,Mud Room,Cuarto De Barro / Transición,"Cuarto de barro (en algunas viviendas, zona de transición entre exterior e interior)."
PROJECT TYPOLOGIES AND ZONES,MUD NK,Mud Nook,Rincón De Barro / Transición,"Rincón de barro (en algunas viviendas, zona de transición entre exterior e interior)."
PROJECT TYPOLOGIES AND ZONES,LANDR,Laundry Room,Cuarto De Pilas / Lavandería,Cuarto de pilas.
PROJECT TYPOLOGIES AND ZONES,VEST,Vestibule,Vestíbulo,Vestíbulo.
PROJECT TYPOLOGIES AND ZONES,WIC,Walk In Closet,Vestidor / Walk-In Closet,Vestidor.
PROJECT TYPOLOGIES AND ZONES,CL,Closet,Armario / Clóset,Armario.
PROJECT TYPOLOGIES AND ZONES,BR CL,Broom Closet,Escobero,Escobero.
PROJECT TYPOLOGIES AND ZONES,ENCL,Enclosure,Recinto / Cerramiento,Recinto.
PROJECT TYPOLOGIES AND ZONES,STO,Storage,Almacén / Depósito,Almacén.
PROJECT TYPOLOGIES AND ZONES,TEN STO,Tenant Storage,Almacén De Inquilinos,Almacén (sólo para uso de los inquilinos).
PROJECT TYPOLOGIES AND ZONES,BIKE STO,Bike Storage,Almacén De Bicicletas,Almacén de bicicletas.
PROJECT TYPOLOGIES AND ZONES,BIKE RCK,Bike Rack,Soporte Para Bicicletas,Soporte para bicicletas.
PROJECT TYPOLOGIES AND ZONES,MAINT,Maintenance Room,Cuarto De Mantenimiento,Cuarto de mantenimiento.
PROJECT TYPOLOGIES AND ZONES,ELEC,Electrical Room,Cuarto Eléctrico,Cuarto eléctrico.
PROJECT TYPOLOGIES AND ZONES,MECH,Mechanical Room,Cuarto Mecánico,Cuarto mecánico.
PROJECT TYPOLOGIES AND ZONES,MDF,Main Distribution Frame,Centro De Cableado Principal,Centro de cableado principal.
PROJECT TYPOLOGIES AND ZONES,IDF,Intermediate Distribution Frame,Centro De Cableado Secundario,Centro de cableado secundario.
PROJECT TYPOLOGIES AND ZONES,AV,Audio Visual Room,Cuarto Audio-Visual,Cuarto con equipamiento y conexiones audio-visuales.
PROJECT TYPOLOGIES AND ZONES,CATV,Community Antenna Television,Cuarto De Televisión Por Cable,Cuarto con equipamiento para televisión por cable comunitaria.
PROJECT TYPOLOGIES AND ZONES,IT,Information Technology Room,Cuarto De TI,Cuarto con equipamiento de tecnología de la información.
PROJECT TYPOLOGIES AND ZONES,GEN RM,Generator Room,Cuarto Del Generador,Cuarto del generador.
PROJECT TYPOLOGIES AND ZONES,ECR,Elevator Control Room,Cuarto De Control Del Elevador,Cuarto de control del elevator (usualmente ubicados en el último piso).
PROJECT TYPOLOGIES AND ZONES,EMR,Elevator Machine Room,Cuarto De Máquinas Del Elevador,Cuarto de maquinas (contiene la maquinaria propia del elevador).
PROJECT TYPOLOGIES AND ZONES,FCR,Fire Control Room,Cuarto De Control De Incendios,Cuarto de control de incendios.
PROJECT TYPOLOGIES AND ZONES,FACP,Fire Alarm Control Panel,Panel De Control De Alarma De Incendios,Cuarto con el panel de control de alarma de incendios.
PROJECT TYPOLOGIES AND ZONES,FIRE COMM,Fire Command Room,Cuarto De Comando De Incendios,Cuarto con uso de centro de operaciones para los bomberos en caso de incendio.
PROJECT TYPOLOGIES AND ZONES,DOM PUMP,Domestic Pump,Sistema De Bombeo Doméstico,Sistema doméstico de bombeo.
PROJECT TYPOLOGIES AND ZONES,FR PUMP,Fire Pump,Sistema De Bombeo Contra Incendios,Sistema de bombeo en caso de incendio (para asegurar el suministro de agua).
PROJECT TYPOLOGIES AND ZONES,ER,Emergency Room,Cuarto De Emergencias,Cuarto de emergencias.
PROJECT TYPOLOGIES AND ZONES,RFG AREA,Refuge Area,Área De Refugio,"Área de refugio (sirve para casos de emergencia/incendio, para resguardarse)."
PROJECT TYPOLOGIES AND ZONES,VLT RM,Vault Room,Cámara Acorazada Eléctrica,Cámara acorazada (contiene transformadores y equipo de distribución eléctrica).
PROJECT TYPOLOGIES AND ZONES,FPL VLT,Florida Power & Light Vault,Cámara Eléctrica FPL,Cámara acorazada (contiene transformadores y equipo de distribución eléctrica).
PROJECT TYPOLOGIES AND ZONES,MTR RM,Meter Room,Cuarto De Medidores,Cuarto con los medidores.
PROJECT TYPOLOGIES AND ZONES,BRDG,Bridge,Puente,Puente.
PROJECT TYPOLOGIES AND ZONES,PED BRDG,Pedestrian Bridge,Pasarela Peatonal,Pasarela.
PROJECT TYPOLOGIES AND ZONES,MAIL RM,Mail Room,Cuarto De Correos,Cuarto de correos.
PROJECT TYPOLOGIES AND ZONES,MBOX,Mailbox,Buzón De Correos,Buzón de correos.
PROJECT TYPOLOGIES AND ZONES,BUS CTR,Business Center,Centro De Negocios,Centro de negocios.
PROJECT TYPOLOGIES AND ZONES,AMEN,Amenity,Área De Amenidades,Área de amenidades (zonas para uso y disfrute de los residentes del edificio).
PROJECT TYPOLOGIES AND ZONES,FIT CTR,Fitness Center,Centro De Fitness,Centro de fitness.
PROJECT TYPOLOGIES AND ZONES,SPIN,Spinning,Área De Spinning,Área de spinning.
PROJECT TYPOLOGIES AND ZONES,GYM,Gymnasium,Gimnasio,Gimnasio.
PROJECT TYPOLOGIES AND ZONES,YG,Yoga,Área De Yoga,Área de yoga.
PROJECT TYPOLOGIES AND ZONES,LCKR,Locker,Área De Lockers / Taquillas,Área de lockers / taquillas.
PROJECT TYPOLOGIES AND ZONES,MOVIE RM,Movie Room,Sala De Cine,Sala de cine.
PROJECT TYPOLOGIES AND ZONES,BWLNG,Bowling Area,Área De Boliche / Bolera,Boliche.
PROJECT TYPOLOGIES AND ZONES,SPA,Salus Per Aquam,Spa,Spa.
PROJECT TYPOLOGIES AND ZONES,PET SPA,Pet Spa,Spa Para Mascotas,Spa para mascotas.
PROJECT TYPOLOGIES AND ZONES,STM RM,Steam Room,Baño Turco / Sala De Vapor,Baño turco.
PROJECT TYPOLOGIES AND ZONES,LIBR,Library,Biblioteca,Biblioteca.
PROJECT TYPOLOGIES AND ZONES,MRN OFF,Marina Office,Oficina Marítima,Oficina marítima (en los proyectos ubicados junto a zona marítima).
PROJECT TYPOLOGIES AND ZONES,MGR,Manager Office,Oficina Del Gerente,Oficina del manager.
PROJECT TYPOLOGIES AND ZONES,ASST MGR,Assistant Manager Office,Oficina Del Asistente Del Gerente,Oficina del asistente.
PROJECT TYPOLOGIES AND ZONES,ADMIN OFF,Administration Office,Oficina Administrativa,Oficina administrativa.
PROJECT TYPOLOGIES AND ZONES,CO-WORK,Co-Working,Espacio De Trabajo Colaborativo,Espacio de trabajo colaborativo.
PROJECT TYPOLOGIES AND ZONES,CONF,Conference Room,Sala De Conferencias,Sala de conferencias.
PROJECT TYPOLOGIES AND ZONES,MED SUP,Medical Supply,Cuarto De Suministros Médicos,Cuarto de suministros médicos.
PROJECT TYPOLOGIES AND ZONES,PHYS THER,Physical Therapy,Cuarto De Terapia Física / Rehabilitación,Cuarto de rehabilitación (terapia física).
PROJECT TYPOLOGIES AND ZONES,CLER,Clerical,Oficina Administrativa Médica,"Oficina administrativa en centro médico (recibe llamadas, coordina citas médicas...)."
PROJECT TYPOLOGIES AND ZONES,TRIAGE,Triage,Triaje Médicos,"Triaje (en centros médicos, clasificación de pacientes según su gravedad)."
PROJECT TYPOLOGIES AND ZONES,WAIT RM,Waiting Room,Sala De Espera,Sala de espera.
PROJECT TYPOLOGIES AND ZONES,EXAM,Examination Room,Cuarto De Consultas / Examen,Cuarto de consultas (donde se atiende individualizadamente a los pacientes).
PROJECT TYPOLOGIES AND ZONES,TREAT,Treatment Room,Sala De Tratamiento,Sala de tratamiento.
PROJECT TYPOLOGIES AND ZONES,DR OFF,Doctor Office,Oficina Del Doctor,Oficina del doctor.
PROJECT TYPOLOGIES AND ZONES,LAB,Laboratory,Laboratorio,Laboratorio.
PROJECT TYPOLOGIES AND ZONES,PHARM,Pharmacy,Farmacia,Farmacia.
PROJECT TYPOLOGIES AND ZONES,IRB,Institutional Review Board,Junta De Revisión Institucional,Junta de Revisión Institucional (supervisa las pruebas médicas en pacientes).
PROJECT TYPOLOGIES AND ZONES,JAN CL,Janitor Closet,Cuarto Del Conserje / Limpieza,Cuarto del conserje.
PROJECT TYPOLOGIES AND ZONES,RECEP,Reception,Recepción,Recepción.
PROJECT TYPOLOGIES AND ZONES,LSE,Leasing,Área De Alquiler / Leasing,Área destinada a operaciones de alquiler con opción a compra.
PROJECT TYPOLOGIES AND ZONES,OFF,Office,Oficina,Oficina.
PROJECT TYPOLOGIES AND ZONES,BRK RM,Break Room,Sala De Descanso / Break Room,Sala de descanso.
PROJECT TYPOLOGIES AND ZONES,PLAY RM,Play Room,Sala De Juegos,Sala de juegos.
PROJECT TYPOLOGIES AND ZONES,MISC,Miscellaneous,Misceláneo,Misceláneo (cuarto de uso variado).
PROJECT TYPOLOGIES AND ZONES,MP,Multi-Purpose,Polivalente / Multi-Uso,Polivalente (cuarto de uso variado).
PROJECT TYPOLOGIES AND ZONES,BOH,Back Of House,Zonas Auxiliares / De Servicio,Zonas auxiliares / de servicio.
PROJECT TYPOLOGIES AND ZONES,VOID,Void Space,Espacio Vacío,Espacio vacío / sin uso (generalmente debajo de una rampa / escalera).
PROJECT TYPOLOGIES AND ZONES,TRSH RM,Trash Room,Cuarto De Basura,Cuarto de basura.
PROJECT TYPOLOGIES AND ZONES,THR,Trash Holding Room,Almacenamiento Temporal De Basura,Área de almacenamiento de basura (espacio independiente del trash room).
PROJECT TYPOLOGIES AND ZONES,RECYC RM,Recycling Room,Cuarto De Reciclaje,Cuarto de reciclaje de basura.
PROJECT TYPOLOGIES AND ZONES,PKG RM,Package Room,Almacén De Paquetería,Almacén de paquetería.
PROJECT TYPOLOGIES AND ZONES,GAR,Garage,Garaje / Estacionamiento,Garaje.
PROJECT TYPOLOGIES AND ZONES,PD,Parking Deck,Edificio De Garaje De Pocos Niveles,Edificio de garaje de pocos niveles (usualmente 2).
PROJECT TYPOLOGIES AND ZONES,ONST PARK,Onstreet Parking,Parqueo En Vía Pública,"Espacio de parqueo exteriores, en la vía pública."
PROJECT TYPOLOGIES AND ZONES,OFFST PARK,Offstreet Parking,Parqueo Fuera De Vía Pública,"Espacio de parqueo fuera de la vía pública (pueden ser exteriores en superficie si están en un lote, o interiores en edificios de garaje o aparcamientos subterráneos)."
PROJECT TYPOLOGIES AND ZONES,SRFC PARK,Surface Parking,Parqueo En Superficie,Espacio de parqueo en superficie (incluye los “onstreet” y los “offstreet”).
PROJECT TYPOLOGIES AND ZONES,SP,Standard Parking,Espacio De Parqueo Estándar,Espacio de parqueo regular (dimensión típica de 9' x 18').
PROJECT TYPOLOGIES AND ZONES,CP,Compact Parking,Espacio De Parqueo Compacto,"Espacio de parqueo compacto (dimensión mínima de 8' x 16'). En parqueos exteriores, su número no puede superar el 25% del total de parqueos."
PROJECT TYPOLOGIES AND ZONES,PP,Parallel Parking,Espacio De Parqueo En Paralelo,Espacio de parqueo en paralelo (dimensión típica de 8'-6” x 22').
PROJECT TYPOLOGIES AND ZONES,HC (VAN),Handicap Parking,Espacio De Parqueo Para Discapacitados,"Espacio de parqueo para discapacitados (dimensión típica de 12' x 18'). Se colocan cerca de los accesos, y disponen de un paso lateral de 5' de ancho. En caso de ser HC VAN, necesitan una altura libre mínima de 8'-2”. Para calcular el número requerido hay que revisar el número total de parqueos: 1-25sp -> 1HC / 26-50sp -> 2HC / 51-75sp -> 3HC / 76-100sp -> 4HC... / 500+sp -> 2%."
PROJECT TYPOLOGIES AND ZONES,TP,Tandem Parking,Espacio De Parqueo Pareado,"Espacio de parqueo pareado (tienen longitud doble, usualmente 32'). Ahorran espacio, pero el inconveniente es que un carro bloquea la salida al otro."
PROJECT TYPOLOGIES AND ZONES,EV,Electric Vehicle Parking,Espacio De Parqueo Vehículo Eléctrico,"Espacio de parqueo para vehículos eléctricos (disponen de equipo de recarga). No todos los proyectos requieren este tipo de parqueos, depende de cada caso. Para calcular el número requerido hay que revisar el número total de parqueos: 10-25sp -> 1EV / 26-50sp -> 2EV / 51-75sp -> 4EV / 76-100sp -> 5EV... / 200+sp -> 6%."
PROJECT TYPOLOGIES AND ZONES,B/O SP,Back Out Space,Espacio De Maniobra De Parqueo,Espacio reservado para maniobrar en un garaje o parqueo. Su tamaño depende del número de vías y de su ubicación.
PROJECT TYPOLOGIES AND ZONES,AISLE,Parking Aisle / Drive Aisle,Zonas De Paso / Tránsito De Garaje,"Zona de paso / tránsito (en garajes, usualmente 14' -> Una vía / 24' -> Dos vías)."
PROJECT TYPOLOGIES AND ZONES,PRT-COCHERE,Porte-Cochère,Apeadero / Entrada De Carros Cubierta,Entrada para carros (es un porche cubierto que sirve de acceso principal al edificio).
PROJECT TYPOLOGIES AND ZONES,CP,Carport,Cobertizo De Aparcamiento,Cobertizo de aparcamiento.
PROJECT TYPOLOGIES AND ZONES,STALL,Stall,Plaza De Parqueo En Cobertizo,Plaza de parqueo (dentro de un carport).
PROJECT TYPOLOGIES AND ZONES,WH,Warehouse,Edificio De Almacenes,Edificio de almacenes.
PROJECT TYPOLOGIES AND ZONES,CH,Clubhouse,Casa Club,Casa club (reúne las áreas de amenidades del condominio / proyecto).
PROJECT TYPOLOGIES AND ZONES,GCH,Golf Clubhouse,Casa Club De Golf,Casa club de golf.
PROJECT TYPOLOGIES AND ZONES,BBQ,Barbeque Area,Área De Barbacoas,Área de barbacoas.
PROJECT TYPOLOGIES AND ZONES,ANC,Ancillary,Edificios Secundarios / Auxiliares,Edificios secundarios / auxiliares.
PROJECT TYPOLOGIES AND ZONES,PAV,Pavilion,Pabellón,Pabellón.
PROJECT TYPOLOGIES AND ZONES,PP,Pool Pavilion,Pabellón De Piscina,Pabellón de piscina.
PROJECT TYPOLOGIES AND ZONES,PEP,Pool Equipment Pavilion,Pabellón De Equipamiento De Piscina,Pabellón del equipamiento de la piscina.
PROJECT TYPOLOGIES AND ZONES,LP,Lake Pavilion,Pabellón De Lago,Pabellón de lago.
PROJECT TYPOLOGIES AND ZONES,PH,Pool House,Edificio Auxiliar De Piscina,Edificio auxiliar junto a la piscina (generalmente con los baños).
PROJECT TYPOLOGIES AND ZONES,PD,Pool Deck,Área De La Piscina,Área de la piscina.
PROJECT TYPOLOGIES AND ZONES,PC,Pool Cabana,Cabaña De Piscina,Cabañita (junto a la piscina).
PROJECT TYPOLOGIES AND ZONES,TL,Tot Lot,Zona De Juego Para Niños,Zona de juego para niños (pequeño pavilion independiente).
PROJECT TYPOLOGIES AND ZONES,GZ,Gazebo,Gazebo,Gazebo.
PROJECT TYPOLOGIES AND ZONES,RO,Residential Overlook,Mirador Residencial,Mirador residencial.
PROJECT TYPOLOGIES AND ZONES,ST,Summer Terrace,Terraza De Verano,Terraza de verano.
PROJECT TYPOLOGIES AND ZONES,SK,Summer Kitchen,Cocina De Verano,Cocina de verano.
PROJECT TYPOLOGIES AND ZONES,STNG AREA,Seating Area,Área Para Sentarse,Área para sentarse.
PROJECT TYPOLOGIES AND ZONES,PATH,Walking Path,Sendero,Sendero.
PROJECT TYPOLOGIES AND ZONES,LAKE,Lake,Lago,Lago.
PROJECT TYPOLOGIES AND ZONES,POND,Pond,Estanque / Lago Pequeño,Lago (más pequeño y menos profundo que “lake”).
PROJECT TYPOLOGIES AND ZONES,BKS,Bike Shop,Negocio De Bicicletas,Negocio de bicicletas.
PROJECT TYPOLOGIES AND ZONES,MK,Mail Kiosk,Kiosco De Correos,Kiosco de correos.
PROJECT TYPOLOGIES AND ZONES,DP,Dog Park,Parque Para Perros,Parque para perros.
PROJECT TYPOLOGIES AND ZONES,DWASH,Dog Wash,Área Para Bañar Perros,Área para bañar a los perros.
PROJECT TYPOLOGIES AND ZONES,DOG SPA,Dog Spa,Spa Para Perros,Spa para perros.
PROJECT TYPOLOGIES AND ZONES,DOG PARLOR,Dog Parlor,Cuidado De Perros,Área para el cuidado de perros.
PROJECT TYPOLOGIES AND ZONES,EF,Entrance Feature,Elemento De Entrada,Elemento de entrada (del condominio).
PROJECT TYPOLOGIES AND ZONES,EG,Entry Gates,Portones De Entrada,Portones de entrada (a veces necesitan un permiso independiente).
PROJECT TYPOLOGIES AND ZONES,MSW,Monument Sign Wall,Pared Señalizada De Entrada,Pared señalizada con el nombre del proyecto en la entrada de la propiedad.
PROJECT TYPOLOGIES AND ZONES,TC,Trash Compactor,Edificio Compactador De Basura,Edificio con el compactador de basura.
PROJECT TYPOLOGIES AND ZONES,TD,Trash Dumpster,Contenedor De Basura / Dumpster,Edificio con el compactador de basura.
PROJECT TYPOLOGIES AND ZONES,MB,Maintenance Building,Edificio De Mantenimiento,Edificio de mantenimiento.
PROJECT TYPOLOGIES AND ZONES,CT,Construction Trailer,Caseta De Obra Temporal,Vehículo o estructura temporal donde hacer acopio de material en obra o con uso de oficina y espacio de trabajo durante el proceso constructivo.
PROJECT TYPOLOGIES AND ZONES,O/P,Outparcel,Lote Comercial De Reserva,"Área en zona comercial, para futura construcción de negocio (typ: restaurante)."
PROJECT TYPOLOGIES AND ZONES,REST,Restaurant,Restaurante,Restaurante.
PROJECT TYPOLOGIES AND ZONES,F&B,Food & Beverages,Venta De Comidas Y Bebidas,Local de venta de comidas/bebidas (no se cocina dentro del local).
PROJECT TYPOLOGIES AND ZONES,B&B,Bed & Breakfast,Hostal Con Desayuno,Hostal económico con desayuno incluido.
PROJECT TYPOLOGIES AND ZONES,DRIVE THRU,Drive Through,Autoservicio,Zona de atención al cliente dentro de su vehículo.
PROJECT TYPOLOGIES AND ZONES,BUS SHLTR,Bus Shelter,Parada De Autobuses Con Marquesina,Parada de autobuses (con marquesina).
PROJECT TYPOLOGIES AND ZONES,RD,Road,Carretera,Carretera.
PROJECT TYPOLOGIES AND ZONES,XRD,Crossroad,Cruce,Cruce.
PROJECT TYPOLOGIES AND ZONES,AVE,Avenue,Avenida,Avenida.
PROJECT TYPOLOGIES AND ZONES,BLVD,Boulevard,Boulevard,Boulevard.
PROJECT TYPOLOGIES AND ZONES,ST,Street,Calle,Calle.
PROJECT TYPOLOGIES AND ZONES,ALLEY,Alley,Callejón,Callejón.
PROJECT TYPOLOGIES AND ZONES,S/W,Sidewalk,Acera,Acera.
PROJECT TYPOLOGIES AND ZONES,XWLK,Crosswalk,Paso De Peatones,Paso de peatones.
PROJECT TYPOLOGIES AND ZONES,HWY,Highway,Pista / Autopista,Pista.
PROJECT TYPOLOGIES AND ZONES,ADDR,Address,Dirección,Dirección (ubicación del proyecto).
PROJECT TYPOLOGIES AND ZONES,D/T,Downtown,Centro De La Ciudad,Centro de la ciudad.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",FIXT,Fixtures,Elementos Fijos,"Elementos fijos (se consideran como parte de la propiedad). Ejemplos: muebles de cocina, isla, inodoro, tina..."
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",APP,Appliances,Electrodomésticos / Elementos Semi-Fijos,"Elementos semi-fijos (se pueden sacar de la propiedad sin dañarla/afectarla). Ejemplos: refrigerador, lavadora, secadora..."
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",FURN,Furnitures,Mobiliario,Mobiliario.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",FURNSH,Furnishings,Mobiliario Y Acabados,"Mobiliario (incluye elementos adicionales como cortinas, alfombras y acabados)."
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",FF&E,"Furniture, Fixtures & Equipment","Mobiliario, Accesorios Y Equipamiento","Mobiliario, accesorios y equipamientos."
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",SK,Sink,Fregadero,Fregadero.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",UC SK,Under Counter Sink,Fregadero Bajo El Sobre,Fregadero bajo el sobre.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",REF,Refrigerator,Refrigerador,Refrigerador.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",UC REF,Under Counter Refrigerator,Refrigerador Bajo El Sobre,Refrigerador bajo el sobre.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",REF SP,Refrigerator Side Panel,Panel Lateral Del Refrigerador,Panel lateral del refrigerador.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",FRZ,Freezer,Congelador,Congelador.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",IM,Ice Maker,Máquina De Hielo,Máquina de hielo.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",D/W,Dishwasher,Lavaplatos,Lavaplatos.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",R,Range,Cocina / Fogón,Cocina (fogón).
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",R/O,Range / Oven,Cocina Con Horno,Cocina / Horno.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",M/W,Microwave,Microondas,Microondas.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",CAB,Cabinet,Mueble De Cocina / Gabinete,Mueble de cocina.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",UC,Upper Cabinet,Mueble De Cocina Aéreo,Mueble de cocina aéreo.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",BC,Base Cabinet,Mueble De Cocina Bajo,Mueble de cocina bajo.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",MC,Medicine Cabinet,Mueble De Medicamentos / Botiquín,Mueble de los medicamentos.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",DB,Drawer Base Cabinet,Mueble Bajo De Gavetas,Base de gavetas del mueble de cocina.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",SB,Sink Base Cabinet,Mueble Bajo Fregadero,Mueble bajo el fregadero.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",DRWR,Drawer,Gaveta / Cajón,Gaveta.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",SH,Shelves,Estantes / Repisas,Estantes.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",R&S,Rod & Shelf,Estante Con Barra,Estante con una barra debajo para colgar la ropa.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",NCH,Niche,Nicho / Hornacina,"Nicho (espacio remetido en una pared, para colocar elementos decorativos)."
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",ALC,Alcove,Alcoba / Recodo,"Alcoba (espacio remetido en una sala, generalmente para leer o sentarse)."
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",P,Pantry,Despensa / Alacena,Despensa.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",ISL,Island,Isla De Cocina,Isla (debe tener un clearance mínimo de 40” hasta los muebles de cocina).
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",CNTP,Countertop,Sobre / Encimera,Sobre.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",TOE KICK,Toe Kick,Zócalo Remetido / Rodapié,"Remetido (típico en la parte baja de los vanities o islas, para evitar pegar con el pie)."
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",BKSPLS,Backsplash,Salpicadero / Placa Anti-Salpicaduras,Backsplash (placa anti-salpicaduras).
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",LAV,Lavatory,Lavabo / Lavamanos De Baño,Lavabo.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",VNTY,Vanity,Mueble De Baño / Tocador,Tocador (mueble del baño).
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",VDB,Vanity Drawer Base,Mueble De Baño Con Gavetas,Base de gavetas del vanity.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",VSB,Vanity Sink Base,Mueble Bajo Lavamanos,Base del vanity (bajo el lavamanos).
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",BSV,Base Skin Veneer,Enchapado De Base / Acabado Exterior,Base del vanity (bajo el lavamanos).
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",MIR,Mirror,Espejo,Espejo.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",FCT,Faucet,Llave / Grifo,Llave / Grifo del agua.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",WC,Water Closet,Inodoro / Sanitario,Inodoro.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",UR,Urinal,Urinario / Mingitorio,Urinario.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",TPD,Toilet Paper Dispenser,Dispensador De Papel Higiénico,Dispensador de papel higiénico.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",TPH,Toilet Paper Holder,Portarrollos De Papel Higiénico,Dispensador de papel higiénico.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",SD,Soap Dispenser,Dispensador De Jabón,Dispensador de jabón.
"FIXTURES, APPLIANCES AND OTHER INTERIOR ELEMENTS",DCT,Diaper Changing Table / Baby Station,Cambiador De Pañales / Estación De Bebé,Soporte para cambio de pañales.
